null,null,null,null
null,null,null,null
null,null,null,null
null,null,null,null
Bali,light rain,30.54,87
Bali,light rain,30.54,87
null,null,null,null
null,null,null,null
null,null,null,null
null,null,null,null
Jakarta,moderate rain,28.05,78
Bandung,moderate rain,25.64,99
